Date,Tweet,Ticker,Score
2020-04-09,wholesale target raised,COST,0.9148943424224854
2020-04-09,food fashion shopping warehouse jobs wholesale jewelry money technicalanalysis,COST,-0.0362290292978286
2020-04-09,wholesale target lowered deutsche bank zknoujfges,COST,-0.8844053745269775
2020-04-09,march sales billion themotleyfool,COST,0.8722487688064575
2020-04-09,gave nice early couldn push through holding options into report gamble,COST,0.976719617843628
2020-04-10,wholesale rating reiterated robert baird ymipqzwcos,COST,0.371429979801178
2020-04-10,wholesale hold rating reiterated credit suisse group,COST,0.4117643237113952
2020-04-13,options flow grid update optionstrading consumer consumers discount discounts store stockmarket stockstowatch stockstotrade stocktrading financial finance capital money,COST,-0.9273680448532104
2020-04-14,ready another double digit dividend hike abwgcxgfxc stockmarket,COST,0.7760119438171387
2020-04-14,wholesale billion gain billion marketcap represents billion nasdaq nyse department specialty retail stores industry info stockmarket fpgmeqjdww,COST,1.0020698308944702
2020-04-14,wholesale rating reaffirmed nomura,COST,0.2567069232463836
2020-04-15,wholesale raises dividend,COST,0.6941978931427002
2020-04-15,retailer sees rise late after another dividend hike retail armgtfkwqc,COST,0.7532185316085815
2020-04-15,wholesale research coverage started citigroup,COST,0.041657093912363
2020-04-15,options flow grid update optionstrading consumer consumers discount discounts store stockmarket stockstowatch stockstotrade stocktrading financial finance capital money estnsyaemg,COST,-0.9349461793899536
2020-04-15,minteractapp options flow grid update optionstrading consumer discount discounts store,COST,0.8610693216323853
2020-04-15,options flow grid update optionstrading consumer discount discounts store wholesale warehouse grocerystore grocery grocerydelivery grocerydelivery stockmarket stocktrading stockstowatch,COST,0.9255303144454956
2020-04-15,axelroark jimcramer jimcramer,COST,0.0118915662169456
2020-04-16,wholesale billion gain billion marketcap represents billion nasdaq nyse department specialty retail stores industry info stockmarket,COST,1.0034141540527344
2020-04-16,first informative pivot points close pivot point download free tradingview stockstowatch,COST,0.8682225942611694
2020-04-17,options flow grid update optionstrading consumer consumers discount discounts store stockmarket stockstowatch stockstotrade stocktrading financial finance capital money,COST,-0.934895157814026
2020-04-17,first informative pivot points close pivot point download free tradingview stockstowatch,COST,0.8594056367874146
2020-04-19,food fashion shopping warehouse jobs wholesale jewelry money technicalanalysis,COST,-0.0362290292978286
2020-04-20,options flow grid update optionstrading consumer consumers discount discounts store stockmarket stockstowatch stockstotrade stocktrading financial finance capital money,COST,-0.8929436206817627
2020-04-21,wholesale director sells,COST,-0.8492376804351807
2020-04-21,reasons love dividend themotleyfool,COST,0.8639054298400879
2020-04-21,dividend consider dividend growth rate current dividend yield earnings growth rate managed rather well during crash bounced back quickly dividend,COST,0.973556399345398
2020-04-21,analysts expect wholesale earnings,COST,0.3136776089668274
2020-04-22,themotleyfool,COST,0.1034602969884872
2020-04-22,themotleyfool,COST,0.1034602969884872
2020-04-22,oppenheimer research analysts reduce earnings estimates wholesale,COST,-0.6568343639373779
2020-04-22,billion sales expected wholesale quarter,COST,0.3511075377464294
2020-04-24,equities analysts issue forecasts wholesale earnings,COST,0.0029583610594272
2020-04-24,options flow grid update optionstrading consumer consumers discount discounts store stockmarket stockstowatch stockstotrade stocktrading financial finance capital money,COST,0.9171738624572754
2020-04-24,wholesale james murphy sells,COST,-0.3304210603237152
2020-04-27,options flow grid update optionstrading optionsflow stockmarket,COST,-0.8959082365036011
2020-05-07,wholesale rating reiterated oppenheimer,COST,0.4093758761882782
2020-05-09,wholesale lowered,COST,-0.9465446472167968
2020-05-28,earnings miss coronavirus costs weigh falls late retail,COST,-0.8741322755813599
2020-05-28,eyes point earnings after close retail,COST,0.9647870063781738
2020-05-28,wholesale company profile fundamental technical analysis score update score score stockmarket,COST,0.0440160445868968
2020-05-29,good entry point quick swing faang trump,COST,0.9882251024246216
2020-05-29,reports revenue beat despite first sales drop decade themotleyfool jmvfqqefah,COST,-0.8116177320480347
2020-05-29,wholesale corporation management results earnings call transcript zrsqfyzgxe,COST,0.0874219536781311
2020-06-01,options flow grid update optionstrading optionsflow stockmarket consumer consumers,COST,0.1765297204256057
2020-06-02,seekingalpha fiscal third quarter shabby finance economy,COST,0.21748848259449
2020-06-02,fiscal third quarter shabby finance economy,COST,0.239203080534935
2020-06-03,making biggest moves after hours cloudera fossil,COST,0.2592864334583282
2020-06-03,options maxpain chart open interest chart update optionstrading optionsflow stockmarket,COST,0.4318661689758301
2020-06-04,neutral fundamental analysis score score check various indicators value score chart roic gross margin ebitda stockmarket,COST,0.6694111824035645
2020-06-04,early after better than expected sales print core comps street estimates strong sales discretionary areas drove beat beneficial margins restrictions easing stores returning normal,COST,0.979074239730835
2020-06-05,wholesale rating reaffirmed stifel nicolaus uhnfcxiqiq,COST,0.909061074256897
2020-06-05,stockmarket costcowholesale reported,COST,0.0616496577858924
2020-06-05,options flow grid update optionstrading optionsflow stockmarket consumer consumers,COST,0.851838231086731
2020-06-05,detected noticeable rise zeitgeist wholesale corporation visit dataswarm information nasdaq dataswarm,COST,0.9779973030090332
2020-06-07,retail surprise firmly system chart above cloud below sell tradingpsychology coronavirus fintech,COST,0.978046417236328
2020-06-08,options maxpain chart open interest chart update optionstrading optionsflow stockmarket verrwyzhuj emtwpvhktr,COST,0.4318661689758301
2020-06-08,brokerages anticipate wholesale sales billion,COST,0.0710114538669586
2020-06-08,options flow grid update optionstrading optionsflow stockmarket consumer consumers rcopeqsyoa,COST,0.7466524839401245
2020-06-09,options maxpain chart open interest chart update optionstrading optionsflow stockmarket,COST,0.4318661689758301
2020-06-10,wholesale options maxpain chart open interest chart update optionstrading optionsflow stockmarket,COST,0.2609548270702362
2020-06-11,good technical analysis score score breakdown categories candle score excellent moving average score good momentum score weak stockmarket,COST,0.9497175216674804
2020-06-16,options maxpain chart open interest chart update optionstrading optionsflow stockmarket,COST,0.4318661689758301
2020-06-16,wholesale poor technical analysis score score breakdown categories candle score poor moving average score neutral momentum score poor stockmarket,COST,-1.0254734754562378
2020-06-18,northcoast research comments wholesale earnings,COST,0.055022694170475
2020-06-18,analysts downgrades june hnrg hstg icagy iots kkpnf kwhiy liqt lqdt xszkaeakhl,COST,-1.060552716255188
2020-06-19,research analysts ratings updates wholesale,COST,0.0651024058461189
2020-06-19,options power options maxpain chart open interest chart update optionstrading optionsflow stockmarket,COST,0.43234384059906
2020-06-19,wholesale receives average recommendation analysts,COST,0.8376884460449219
2020-06-19,options flow grid update optionstrading optionsflow stockmarket consumer consumers,COST,-0.9113757610321044
2020-06-20,wholesale roland michael vachris sells,COST,-0.4482390582561493
2020-06-22,wholesale corp embedded expectations analysis wholesale corporation currently near historical highs relative uafrs based uniform earnings uniform equity,COST,0.9480520486831664
2020-06-23,company profile fundamental technical analysis score update score score stockmarket invest aqivfsgimd,COST,0.0447698235511779
2020-06-23,options maxpain chart open interest chart update optionstrading optionsflow optionstrade optiontrading stockmarket invest,COST,0.384317010641098
2020-06-24,wholesale options maxpain chart open interest chart update optionstrading optionsflow optionstrade optiontrading stockmarket invest,COST,0.4750073254108429
2020-06-24,excellent fundamental analysis score score check various indicators value score chart roic gross margin ebitda stockmarket,COST,0.980237603187561
2020-06-25,company profile fundamental technical analysis score update score score stockmarket invest qiluoefeix,COST,0.0447698235511779
2020-06-25,options maxpain chart open interest chart update optionstrading optionsflow optionstrade optiontrading stockmarket invest,COST,0.384317010641098
2020-06-25,options flow grid update optionstrading optionsflow stockmarket consumer consumers,COST,0.1652256250381469
2020-06-25,wholesale target increased analysts morgan stanley,COST,0.9282528162002563
2020-06-26,minteractapp options flow grid update optionstrading optionsflow stockmarke,COST,0.7682617902755737
2020-06-26,company profile fundamental technical analysis score update score score stockmarket invest,COST,0.0447698235511779
2020-06-26,options maxpain chart open interest chart update optionstrading optionsflow optionstrade optiontrading stockmarket invest,COST,0.5258300304412842
2020-06-26,options flow grid update optionstrading optionsflow stockmarket consumer consumers gnqimnlrkp,COST,0.7551378011703491
2020-06-29,poor technical analysis score score breakdown categories candle score poor moving average score neutral momentum score poor stockmarket,COST,-1.0526286363601685
