Date,Tweet,Ticker,Score
2020-04-09,bought march look super majors want make money,CVX,0.9739192724227904
2020-04-09,turned negative green move thnprtvcgx,CVX,-0.8052856922149658
2020-04-09,those along bonus edition target info,CVX,0.3648568093776703
2020-04-09,those along bonus edition target info,CVX,0.2274018079042434
2020-04-09,rating reiterated group,CVX,0.3633671402931213
2020-04-09,options maxpain chart free options,CVX,0.1587696969509124
2020-04-09,stocktwits trending alert recent interest bpdiuyeulf,CVX,0.6921086311340332
2020-04-09,divcultivator bluewolfbiz similar both adamant about maintaining dividends cutting capital spending cannot indefinite hopefully until supply shrinks which hopefully happens soon opec meetings well,CVX,0.8357034921646118
2020-04-09,russians deal arabs,CVX,0.2391606122255325
2020-04-09,above aboard,CVX,0.9562058448791504
2020-04-09,look drop somebody already knows something about opec deal,CVX,-1.0517960786819458
2020-04-09,revshark dougkass realmoney enormous amount liquidity ridiculous scenario close time highs while million unemployed example only,CVX,-1.0751653909683228
2020-04-09,recommendation hold rating,CVX,-0.2076618075370788
2020-04-09,delta about,CVX,0.38105508685112
2020-04-09,budimanjayas sure better than staying away crap,CVX,0.5852257013320923
2020-04-09,sure better than staying away crap,CVX,0.6651864051818848
2020-04-10,earns rating group,CVX,0.8821043968200684
2020-04-10,lowered,CVX,-1.000499606132507
2020-04-10,earns rating group,CVX,0.8821043968200684
2020-04-10,,CVX,0.8848792314529419
2020-04-10,,CVX,0.8848792314529419
2020-04-10,higher,CVX,0.9232138395309448
2020-04-10,first informative pivot points close pivot point download free tradingview stockstowatch,CVX,0.8636864423751831
2020-04-10,bullish current levels investorplace,CVX,0.9343550205230712
2020-04-10,recent analysts ratings updates dxqopfuqxs,CVX,0.103670135140419
2020-04-10,uncertainty dominates long term short medium term outlook yiqdyjrhbp,CVX,-0.4990388453006744
2020-04-10,company profile fundamental technical score update,CVX,0.0026337802410125
2020-04-10,brianzinman jennesscapital bought charts taught tyvm,CVX,0.9384669065475464
2020-04-10,want look sector decimated look than great companies great dividends heavily considering adding position cheap long,CVX,0.9805607795715332
2020-04-10,raresterling move move option expansion profits,CVX,0.9365379810333252
2020-04-10,jennesscapital bought charts taught tyvm,CVX,0.958675742149353
2020-04-10,initial time strikes completely free closed hedge took profits control free until january need spend free capital,CVX,0.9885205030441284
2020-04-10,move move option expansion profits,CVX,0.9413511753082277
2020-04-10,northmantrader federalreserve owning bunch junk literally smart money sells into cannot create demand funding companies which cannot repay recovering nationalize,CVX,0.2133348733186721
2020-04-10,uptrend jump because broke lower bollinger band march view odds indicators stockmarket technicalanalysis money daytrading news,CVX,0.9437810182571412
2020-04-10,bearingtontrade only small into anything think sustainable long term growth,CVX,-0.6860533952713013
2020-04-10,shannonsaccocia prefer trust energy bull good move against major headwinds,CVX,0.9610917568206788
2020-04-10,dirtyjerseydoug chrisnawojczyk agree only shorted because missed peak largest reserve,CVX,-1.043561577796936
2020-04-10,chrisnawojczyk agree only shorted because missed peak largest reserve shale distant second likely jump saudi cuts,CVX,-1.064478039741516
2020-04-11,dividend safe these filled premium only,CVX,0.5734542608261108
2020-04-11,rating reiterated group,CVX,0.914960503578186
