Date,Tweet,Ticker,Score
2020-04-10,forecasted earn earnings gjbkbipivx,NFLX,0.3896537721157074
2020-04-11,junkbondinvest awkward moment realize unsec bonds outperforming equity,NFLX,-1.046902060508728
2020-04-11,realwillmeade think prime video million times better than originals boschamazon goli,NFLX,0.8477792739868164
2020-04-11,options flow grid update optionstrading thursday stockmarket stockstowatch stockstotrade stocktrading,NFLX,-0.9679765701293944
2020-04-13,high positive sentiment chart sentiment,NFLX,0.965107560157776
2020-04-13,options flow grid update optionstrading communication services entertainment netflixth stockmarket stockstowatch stockstotrade stocktrading financial capital,NFLX,0.9020382165908812
2020-04-13,unusual options activities detected optionstrading check options money flow grid options power unusual options volume intraday historical chart options volume pain chart stockmarket,NFLX,0.8819953203201294
2020-04-13,almost neglects trends average analyst rating analysts news wallstreet,NFLX,0.9610226154327391
2020-04-14,options flow grid update optionstrading communication services entertainment netflixth stockmarket stockstowatch stockstotrade stocktrading financial streaming movie movienights,NFLX,0.9175891876220704
2020-04-14,long entry stop loss available subscribers take profit targets available subscribers coronavirus streaming stockmarket wallstreet nasdaq dftqycmspg,NFLX,0.9747177362442015
2020-04-14,nice action analysis iscktgbfmz options,NFLX,0.9708293676376344
2020-04-14,guys move refer analysis levels mapped options,NFLX,0.4266992807388305
2020-04-14,chart irgkeqhqta,NFLX,0.0601667240262031
2020-04-14,chart irgkeqhqta,NFLX,0.0716643184423446
2020-04-14,quick within minutes take ontothenextone options auroratradingio aurorasuccess,NFLX,0.1899364739656448
2020-04-14,great list remember throughout morningjoe stayhome workfromhome,NFLX,0.9936610460281372
2020-04-14,target raised imperial capital bspoxzxthw,NFLX,0.914725422859192
2020-04-14,scheduled earnings tuesday,NFLX,0.0681497827172279
2020-04-14,looking good strong during whole dump,NFLX,0.9575759172439576
2020-04-14,nice action analysis iscktgbfmz options,NFLX,0.9743237495422364
2020-04-15,richlightshed mins happened larger than bloomberg theterminal billion,NFLX,0.1712298244237899
2020-04-15,marketswithminh surges record high streaming takes during lockdown invest earnings,NFLX,0.8680299520492554
2020-04-15,good entry helps good lift portfolioday howgpokmig,NFLX,0.9638125896453856
2020-04-15,surges record high streaming takes during lockdown invest earnings,NFLX,0.8738853931427002
2020-04-15,good entry helps good lift portfolioday howgpokmig,NFLX,0.9627841711044312
2020-04-15,target increased analysts stifel nicolaus,NFLX,0.9329565763473512
2020-04-15,sweet good study chart happen ibdinvestors,NFLX,0.967215657234192
2020-04-15,unusual options activities detected optionstrading check options money flow grid options power unusual options volume intraday historical chart options volume pain chart netflixth invest,NFLX,0.830898642539978
2020-04-15,options flow grid update optionstrading communication services entertainment netflixth stockmarket stockstowatch stockstotrade stocktrading financial capital invest,NFLX,0.904842734336853
2020-04-15,earns outperform rating cowen,NFLX,0.288036435842514
2020-04-15,susanlitv separation winners losers coronavirusoutbreak record high piece amazo,NFLX,0.7987508773803711
2020-04-15,excluded obvious gaining mhepwqoenm,NFLX,0.9261704683303832
2020-04-15,estimates lifted analyst,NFLX,0.7516520023345947
2020-04-15,sweet good study chart happen ibdinvestors rvlzpvxekc,NFLX,0.9666693210601808
2020-04-15,carlquintanilla despite coronaviruslockdown those strength strength into sell system during firmly chart above cloud below sell,NFLX,0.959120750427246
2020-04-15,target increased analysts pivotal research,NFLX,0.9407638311386108
2020-04-15,despite coronavirus firmly system chart above cloud below sell fintech,NFLX,0.967549204826355
2020-04-15,dannyvena live reports earnings themotleyfool streamingvideo gspc,NFLX,0.6786994934082031
2020-04-15,quick within minutes take ontothenextone options auroratradingio aurorasuccess,NFLX,0.4547760188579559
2020-04-15,live reports earnings themotleyfool streamingvideo gspc,NFLX,0.4580326676368713
2020-04-16,target raised,NFLX,0.9370037317276
2020-04-16,seekingalpha late party economy,NFLX,-0.6341489553451538
2020-04-16,late party economy,NFLX,-0.6747580766677856
2020-04-16,cont uptrend longerterm combo chart,NFLX,0.9551433324813844
2020-04-16,first informative pivot points close pivot point download free tradingview stockstowatch,NFLX,0.8411362171173096
2020-04-16,unusual options activities detected optionstrading check options money flow grid options power unusual options volume intraday historical chart options volume pain chart,NFLX,0.8938672542572021
2020-04-16,increasingly unpopular opinion think mistake sell outperforming winners keep winning them,NFLX,-0.7682100534439087
2020-04-16,options flow grid update optionstrading communication services entertainment netflixth stockmarket stockstowatch stockstotrade stocktrading financial capital,NFLX,0.9063738584518432
