Date,Tweet,Ticker,Score
2020-04-09,citigroup cuts target,SBUX,-0.8812545537948608
2020-04-09,earnings estimate issued piper sandler,SBUX,0.0581066459417343
2020-04-09,expects covid slash profits half themotleyfool,SBUX,-0.974207639694214
2020-04-09,issues earnings guidance,SBUX,0.0701164156198501
2020-04-09,target analysts stephens,SBUX,-0.9579484462738036
2020-04-09,downgraded bank america neutral,SBUX,-1.024341702461243
2020-04-09,updates after hours earnings guidance,SBUX,0.0524021610617637
2020-04-10,piper sandler comments earnings,SBUX,0.0334143489599227
2020-04-10,rating reiterated jefferies financial group fclnulxpea,SBUX,0.9269025325775146
2020-04-11,strbucks those during coronavirus pullback remained system chart above cloud below sell coffee takeaway,SBUX,0.9748107194900512
2020-04-12,first informative pivot points close pivot point download free tradingview stockstowatch,SBUX,0.8537231683731079
2020-04-12,given average recommendation hold brokerages,SBUX,0.0075305886566638
2020-04-13,lowered,SBUX,-0.9823106527328492
2020-04-13,oppenheimer cuts target igkojpexhl,SBUX,-0.8668922185897827
2020-04-13,corp brand equity seems outshine economic sensitivity equity,SBUX,0.1224932968616485
2020-04-13,seekingalpha missed rally late stockmarket economy,SBUX,-0.7643774747848511
2020-04-13,missed rally late stockmarket economy,SBUX,-0.6883631944656372
2020-04-15,estimates lowered analyst chlrytnbgz,SBUX,-0.8929946422576904
2020-04-16,company profile technical analysis score update score stockmarket,SBUX,-0.0084707178175449
2020-04-16,rises firm eyes transition phase coronavirus outbreak,SBUX,0.3567073345184326
2020-04-16,wedbush weighs earnings xapvmjndkf,SBUX,0.0233874544501304
2020-04-16,expected earn earnings,SBUX,0.4961134493350982
2020-04-17,plans gradual reopening based china experience themotleyfool syalqbsltr reopening based aspx boycottestarbucks,SBUX,0.0020851045846939
2020-04-17,recent analysts ratings changes,SBUX,0.0528204590082168
2020-04-17,wolfe research begins coverage,SBUX,0.0520875677466392
2020-04-17,alert corporation alert type percent change value dividend visit custom alerts,SBUX,0.8046706914901733
2020-04-19,target lowered wedbush,SBUX,-0.9773403406143188
2020-04-19,lays groundwork reopening after coronavirus themotleyfool zsweamowew,SBUX,0.158708170056343
2020-04-21,short interest update,SBUX,0.5529662370681763
2020-04-21,announce earnings tuesday,SBUX,0.035064548254013
2020-04-22,partners increases target,SBUX,0.8557934761047363
2020-04-22,jefferies financial group raises target,SBUX,0.4739096760749817
2020-04-22,alert corporation alert type percent change value dividend visit custom alerts,SBUX,0.7936735153198242
2020-04-23,analysis another crash coronavirus earnings stockstobuy,SBUX,-0.4373699128627777
2020-04-24,options flow grid update optionstrading optionsflow stockmarket,SBUX,0.7751359939575195
2020-04-24,given target oppenheimer,SBUX,0.2392539083957672
2020-04-25,watching closely reports earnings themotleyfool coronavirus ixfknncunq,SBUX,-0.0275403689593076
2020-04-25,important factor personal finance themotleyfool,SBUX,0.8696885108947754
2020-04-26,estimates make different decisions single make choices about what what wear themotleyfool ihajgrsrhn,SBUX,-0.2726799547672272
2020-04-26,expected announce earnings xaihdncker,SBUX,0.4644456505775451
2020-04-27,options flow grid update optionstrading optionsflow stockmarket,SBUX,0.8960695266723633
2020-04-27,brokerages anticipate announce sales billion,SBUX,0.1028140261769294
2020-04-28,rating reaffirmed stephens,SBUX,0.3234926164150238
2020-04-28,misses estimate sales beat estimate earnings stockmarket ycctcthatd,SBUX,0.5104025602340698
2020-04-28,options flow grid update optionstrading optionsflow stockmarket,SBUX,0.8979458808898926
2020-04-28,options alert calls sweep near earnings stockmarket ycctcszzud,SBUX,0.8592221736907959
2020-04-28,scheduled announce earnings results tuesday april after close consensus estimate consensus revenue estimate earnings stockmarket,SBUX,0.3030431866645813
2020-04-28,options flow grid update optionstrading optionsflow stockmarket,SBUX,-0.8643641471862793
2020-04-28,happy tuesday futures breaking another recent high what time alive dont fight baby update video great make cash gold tsxv lambomultibagger,SBUX,0.9928160905838012
2020-04-28,options flow grid update optionstrading optionsflow stockmarket,SBUX,0.8708257675170898
2020-04-29,rating reaffirmed credit suisse group,SBUX,0.9250285625457764
2020-04-29,target raised partners,SBUX,0.915286421775818
2020-04-29,group boosts target,SBUX,0.6903283596038818
2020-04-29,target raised chase,SBUX,0.9022520780563354
2020-04-29,stephens trims target,SBUX,-0.0473624542355537
2020-04-29,premarket expects china recovery september coronavirus seen easing kfrdpspsrk earnings,SBUX,0.9661378860473632
2020-04-29,great discussion earnings george chat snacks bananabread cookies proteinbox what favorite love mochafrappuccino futures fantastic april,SBUX,0.964245080947876
2020-04-29,announces earnings results beats expectations,SBUX,0.1467163562774658
2020-05-03,decision recovery themotleyfool digital togo curbsidepickup delivery tobeapartner socialdistancing,SBUX,0.6683940887451172
2020-05-03,topindicators parabolic works better than well known tech indicators since september,SBUX,0.9588042497634888
2020-05-03,parabolic works better than well known tech indicators since september check forex crypto,SBUX,0.941874384880066
2020-05-04,seekingalpha pricey play recovery,SBUX,0.9111504554748536
2020-05-04,pricey play recovery,SBUX,0.8834683895111084
2020-05-06,made small purchase only worth round fractional anyone bought dividend,SBUX,0.5892781019210815
2020-05-06,director sells jphnxfgzex,SBUX,-0.8662501573562622
2020-05-07,receives average recommendation hold brokerages,SBUX,-0.0231224037706851
2020-05-07,thecentsables important factor personal finance themotleyfool personalfina,SBUX,0.8720879554748535
2020-05-07,important factor personal finance themotleyfool personalfinance finlit financialliteracy,SBUX,0.93369460105896
2020-05-09,bullish bullish stockmarket,SBUX,0.9858330488204956
2020-05-28,options flow grid update optionstrading optionsflow stockmarket coffee consumers consumer ltzsbfsuci xsczimtcmr,SBUX,0.8756961822509766
2020-05-30,reshoftc established companies adapt business models digital companies successfully disrupt,SBUX,0.952034592628479
2020-06-03,neutral fundamental analysis score score check various indicators value score chart roic gross margin ebitda stockmarket,SBUX,-0.0824261307716369
2020-06-04,sergdjb long swing into break indicated photo good luck,SBUX,0.9659017324447632
2020-06-05,neutral technical analysis score score breakdown categories candle score weak moving average score neutral momentum score excellent stockmarket,SBUX,0.7807154655456543
2020-06-05,corp embedded expectations analysis corporation currently above recent averages relative uafrs based uniform earnings uniform these levels equity,SBUX,0.5849504470825195
2020-06-10,falls after sales slip least billion stockmarket capitalwatchcom,SBUX,-0.7905237674713135
2020-06-10,comment reduced expansion additional store closures investments bonds,SBUX,-0.9659209251403807
2020-06-10,great short,SBUX,0.984343409538269
2020-06-10,expects pandemic reduce sales quarter billion closing stores north america including canada eqpxgokpqe,SBUX,-1.0348060131072998
2020-06-10,neutral technical analysis score score breakdown categories candle score poor moving average score excellent momentum score excellent stockmarket fstdsxzblx,SBUX,0.8598319292068481
2020-06-10,updates earnings guidance,SBUX,0.0768061354756355
2020-06-10,issues earnings guidance,SBUX,0.0450909808278083
2020-06-10,updates earnings guidance fxdqlicbyd,SBUX,0.0803744494915008
