Date,Tweet,Ticker,Score
2020-04-09,cnbcclosingbell into close chance unitedhealth,UNH,0.0749746412038803
2020-04-09,berthacoombs reports nest wednesday commentary give first look medical trends,UNH,0.0671396404504776
2020-04-09,reports nest wednesday commentary give first look medical trends window into hospital admission volumes essential care limited,UNH,-0.3987108469009399
2020-04-09,berthacoombs stephanie link bullish high oidgnybrcl,UNH,0.951574206352234
2020-04-09,into close chance unitedhealth,UNH,0.128823384642601
2020-04-09,stephanie link bullish high oidgnybrcl,UNH,0.9519554376602172
2020-04-09,hexavest makes million unitedhealth group,UNH,0.1775808632373809
2020-04-09,health foundation pledges million support vulnerable seattle residents amid covid emergency,UNH,0.0608921498060226
2020-04-09,health foundation pledges million support vulnerable seattle residents amid covid,UNH,0.0750462189316749
2020-04-09,sleekoptions calls option volume volume,UNH,0.8234337568283081
2020-04-09,delta expiration maxpain options,UNH,-0.0168353915214538
2020-04-09,health foundation pledges support vulnerable louisiana residents amid covid emergency ktvegqrkdk,UNH,0.0691633597016334
2020-04-09,names open cash spigot fight covid active coronavirus,UNH,0.5101326704025269
2020-04-09,health foundation pledges million support vulnerable york residents amid covid emergency,UNH,0.0666962265968322
2020-04-09,health foundation pledges million support vulnerable jersey residents amid covid emergency cmmwuxycgf,UNH,0.0490345060825347
2020-04-09,unitedhealth group commits additional million covid international response,UNH,0.0857284814119339
2020-04-09,peak profit expired option alerts,UNH,0.6832233667373657
2020-04-09,calls option volume volume,UNH,0.8751262426376343
2020-04-09,months option alerts peaked above after were triggered algo,UNH,0.9168202877044678
2020-04-09,view historical options performance,UNH,0.0836945921182632
2020-04-09,health foundation pledges million support vulnerable florida residents amid covid emergency,UNH,0.0666678473353385
2020-04-09,aroon indicator reaches into uptrend april view odds indicators unitedhealthgroup stockmarket technicalanalysis money daytrading news vlumwdfsin,UNH,0.9262661933898926
2020-04-09,unitedhealth group stake prairieview partners,UNH,-0.5384364128112793
2020-04-09,sentiment total scores positive negative sentiment,UNH,-0.0749598145484924
2020-04-09,sure what explore fundamental pros cons,UNH,-0.312694102525711
2020-04-09,unitedhealth group incorporated common option order flow sentiment turned bearish bullish,UNH,-0.973438024520874
2020-04-10,berthacoombs unitedhealthgrp providers electronic payment system seeing check within while tapped,UNH,-0.0535696968436241
