Created_at,Tweet_Words,Score
2020-04-09 23:39:48+00:00,order flow sentiment turned bearish bullish,-0.8913722038269043
2020-04-09 23:18:36+00:00,currently lead unusual activity barchart visit view,0.9626259803771972
2020-04-09 23:16:39+00:00,apr atm implied volatility straddle implies move earnings apr bmo,-1.0367461442947388
2020-04-09 22:53:37+00:00,bank caught screwing struggling biz owners prioritizing customers dragged court banks start messing congress rep send big bro,-1.0809003114700315
2020-04-09 19:47:22+00:00,clients experienced outages restored,-0.4295415878295898
2020-04-09 19:29:39+00:00,currently lead unusual activity barchart visit view unusual,0.4178396761417389
2020-04-09 19:23:03+00:00,,-1.0543036460876465
2020-04-09 19:21:25+00:00,help earlier welcome happy easter,0.9870916604995728
2020-04-09 18:43:36+00:00,help earlier welcome happy easter,0.9967925548553468
2020-04-09 18:22:05+00:00,closed platform immediately joke,-0.4330496788024902
2020-04-09 17:56:16+00:00,friend small flying fishing expeditions pretty well seen paperwork request assistance,0.4677443206310272
2020-04-09 17:47:59+00:00,big gainer move bank america corp,0.6832337379455566
2020-04-09 17:41:58+00:00,stalling big money already greedy leave bagholders dazed confused long weekend admist pandemic mounting job loss,-1.0919407606124878
2020-04-09 17:25:10+00:00,informative app pivot points close pivot point download tradingview stockstowatch,0.8493244647979736
2020-04-09 17:13:04+00:00,cnbc played recording conference guy telling fucked mean fired decide social distancing stay home,-1.043509840965271
2020-04-09 17:07:40+00:00,huge disappointment bought early lost money moving exp id hundred percents thanks recent moves oh well ok,-0.3654363453388214
2020-04-09 17:06:20+00:00,hoding ppt,0.6463273763656616
2020-04-09 16:59:52+00:00,entry point long weekend stalking,-0.8454910516738892
2020-04-09 16:59:47+00:00,typical csuite push agendas instead waiting telecommuting respect,0.9562561511993408
2020-04-09 16:58:01+00:00,banks hoding segment walll street bunch savages give,-0.9713497161865234
2020-04-09 16:57:51+00:00,banks hoding segment walll street bunch savages give,-1.034854292869568
2020-04-09 16:54:07+00:00,bulls pushup point sharks surprise attack soon,-0.731430172920227
2020-04-09 16:54:06+00:00,gallo completely appropriate choices live weigh accept consequences,0.7063379287719727
2020-04-09 16:54:00+00:00,hope find rat,0.2231227606534958
2020-04-09 16:52:47+00:00,hourly someone expecting big continuation move money cheap play,0.9686063528060912
2020-04-09 16:52:18+00:00,omg wapner disgraceful leaked bad sound end world message truth wapner horror,-1.0272272825241089
2020-04-09 16:48:41+00:00,contracts rolled exp giddy,-0.7972331047058105
2020-04-09 16:46:19+00:00,obviously inside assistance jump financial institutions funding rest scrambling things place,0.9791730642318726
2020-04-09 16:40:06+00:00,aboard break train,0.3177456855773926
2020-04-09 15:44:41+00:00,possible break upside,0.9714584350585938
2020-04-09 15:40:36+00:00,future virus track juss sayin,0.9650139808654784
2020-04-09 15:22:44+00:00,bank america pt lowered ubs,-0.995568037033081
2020-04-09 15:10:44+00:00,interesting green,0.944265842437744
2020-04-09 15:00:08+00:00,bank america,0.8275275230407715
2020-04-09 14:45:35+00:00,bank america pt lowered ubs,-0.995568037033081
2020-04-09 14:39:14+00:00,retest,-1.0142563581466677
2020-04-09 14:34:03+00:00,boutta move,0.8130717277526855
2020-04-09 14:33:59+00:00,bank america found facing repeated backlash coronavirus response banks paint heroes crisis,0.6290227174758911
2020-04-09 14:21:48+00:00,never,0.900998592376709
2020-04-09 14:18:35+00:00,never,0.7837128639221191
2020-04-09 14:10:53+00:00,bank america pt lowered ubs,-0.995568037033081
2020-04-09 14:10:51+00:00,barclays reiterates rating bank america,0.9058741331100464
2020-04-09 14:10:36+00:00,bank america rating reaffirmed barclays,0.8789457082748413
2020-04-09 14:07:54+00:00,barclays reiterates rating bank america,0.9058741331100464
2020-04-09 14:03:05+00:00,moving,0.8007346391677856
2020-04-09 14:01:57+00:00,way early,-0.7931139469146729
2020-04-09 13:58:47+00:00,,-1.025283932685852
2020-04-09 13:58:18+00:00,took stops,-0.3844166696071625
2020-04-09 13:45:07+00:00,bank america corporation type percent change value hit dividend visit custom,0.8600444793701172
2020-04-09 13:43:36+00:00,interest,0.921351194381714
2020-04-09 13:35:00+00:00,extend higher towards area upside profit seen swings least,0.9328129291534424
2020-04-09 13:34:51+00:00,ended cycle lower started bounce correct previous cycle peak,0.6543846130371094
2020-04-09 13:34:36+00:00,hour view update bounced failed inside blue box area lows already,-1.070860505104065
2020-04-09 13:34:15+00:00,elliott wave view downside bounced failed blue box area,-1.0848313570022583
2020-04-09 13:33:57+00:00,hour update presented members extend lower,-1.010386943817139
2020-04-09 13:31:35+00:00,,-1.035031795501709
2020-04-09 13:29:06+00:00,bank america earns rating barclays,0.9172029495239258
2020-04-09 11:26:52+00:00,aroon reaches uptrend view odds bankofamerica money news,0.9241400957107544
2020-04-09 09:06:57+00:00,big banks paycheckprotectionprogram portal running bank receive,0.6160537004470825
2020-04-09 08:52:02+00:00,big banks paycheckprotectionprogram portal running bank received applications small total loans approved almost passed congress,0.4283657371997833
2020-04-09 06:36:12+00:00,flow update bank america boa banking,0.8630726337432861
2020-04-09 02:13:36+00:00,fun fact son bought inside without asking,0.9142967462539672
2020-04-09 02:06:21+00:00,bounce past previous continuation level entry,0.9574849605560304
2020-04-09 01:39:58+00:00,bounce past previous continuation level entry,0.9663134813308716
2020-04-10 21:14:51+00:00,bank america survive covid pandemic crash economy bu,-0.7749590873718262
2020-04-10 21:09:01+00:00,bank america survive covid pandemic crash economy,0.2962836921215057
2020-04-10 20:58:04+00:00,please tell company less fcf whose entire asset book stopped fed federal treasury fed stepped,-1.0828067064285278
2020-04-10 20:25:34+00:00,bank america break nowhere near crisis,-1.053217530250549
2020-04-10 19:45:12+00:00,rising,0.9673718214035034
2020-04-10 17:25:56+00:00,bank america corporation pivot points resistance stop,0.4799958765506744
2020-04-10 17:08:38+00:00,bank america target cut,-1.0026289224624634
2020-04-10 17:07:58+00:00,bank america target cut,-1.0026289224624634
2020-04-10 17:00:39+00:00,orlando firms fared paycheckprotectionprogram applications relief applied localbusiness businessnews ppp florida,0.2755853235721588
2020-04-10 16:31:41+00:00,company handling pandemic properly prevail hundreds millions dollars fed loans,0.611707329750061
2020-04-10 16:30:45+00:00,blossom shit,-0.2158772498369217
2020-04-10 16:26:06+00:00,harald chairmen tv economy turning feb agree slowing th,-0.4603421092033386
2020-04-10 15:00:07+00:00,bank america,0.8340249061584473
2020-04-10 14:55:55+00:00,blossom shit,0.7101173400878906
2020-04-10 14:33:45+00:00,harald chairmen tv economy turning feb agree slowing due qt engineered fed,-0.8848644495010376
2020-04-10 14:26:01+00:00,yup margin increased among class hard tell,0.826217532157898
2020-04-10 13:32:03+00:00,managed reach term extreme lows area upside wave reaction lower least sometimes,-1.063639521598816
2020-04-10 13:30:04+00:00,ended cycle lower started bounce correct previous cycle peak,0.6543846130371094
2020-04-10 13:29:53+00:00,hour view update bounced failed inside blue box area lows already,-1.070860505104065
2020-04-10 13:29:37+00:00,elliott wave view downside bounced failed blue box area,-1.0848313570022583
2020-04-10 13:29:22+00:00,hour update presented members extend lower,-1.010386943817139
2020-04-10 12:59:40+00:00,yup margin increased among class hard tell us extremely affected covid small owners franchises local chains affected debt covenant specialists,0.7823648452758789
2020-04-10 10:46:39+00:00,aroon reaches uptrend view odds,0.9199169874191284
2020-04-10 10:28:37+00:00,aroon reaches uptrend view odds bankofamerica money news,0.9241400957107544
2020-04-10 04:28:52+00:00,outsized move apr straddle implying move,0.4284112453460693
2020-04-10 03:09:57+00:00,rallied bottom less book need obscure opportunities smallcaps illiquid securities value often hides plain sight,-1.0578843355178833
2020-04-10 03:03:01+00:00,bank america bank america study long btc,-0.4557400345802307
2020-04-10 02:06:25+00:00,notice merrill lynch customers margin klaymantoskes commences investigation damages,-0.2911542057991028
2020-04-11 19:39:17+00:00,profit drop,-0.8300182819366455
2020-04-11 18:44:24+00:00,interesting earnings starting roll gap breaking earnings thoughts flat,0.8939391374588013
2020-04-11 18:08:30+00:00,bank america corporation pivot points,0.6026390790939331
2020-04-11 16:39:12+00:00,bank america rating reaffirmed barclays,0.2434020936489105
2020-04-11 16:38:16+00:00,bank america rating reaffirmed barclays,0.2434020936489105
2020-04-11 13:39:08+00:00,reprehensible completely unnecessary small potatoes credit cards canceling touch explain,-1.0927177667617798
2020-04-11 13:31:22+00:00,report earnings apr bmo expected move,0.4765038192272186
2020-04-11 10:45:22+00:00,bank america rating increased valuengine,0.903822422027588
2020-04-11 10:44:57+00:00,bank america rating upgraded valuengine,0.8978174924850464
2020-04-11 10:44:44+00:00,bank america rating upgraded valuengine,0.8978174924850464
2020-04-11 09:37:05+00:00,aroon reaches uptrend view odds bankofamerica money news,0.9241400957107544
2020-04-11 06:16:44+00:00,reports earnings opens wallstreet estimate mean estimate low estima,0.7159348726272583
2020-04-11 05:27:12+00:00,reports earnings opens wallstreet estimate mean estimate low estimate current current marketcap current dividend yield investingnews stockmarketnews,0.5965453386306763
2020-04-11 03:24:08+00:00,remember buffet young remember nobody worst,-0.6282976865768433
2020-04-11 02:13:53+00:00,super savvy value moves kind warren buffett deep value bank america preferred purchase insignificant chance starts never assuming skins qb,0.9832463264465332
2020-04-11 01:22:07+00:00,remember buffet young remember nobody worst happened uphill everybody scared shitless seen fear,-1.0624654293060305
2020-04-11 00:43:15+00:00,bank america survive covid pandemic crash profits,0.9594166278839112
2020-04-12 23:44:44+00:00,list continuation,0.9500315189361572
2020-04-12 23:14:26+00:00,earnings resistance,0.802956223487854
2020-04-12 21:58:27+00:00,bank please running funds,0.9808810949325562
2020-04-12 20:07:30+00:00,closed gap closed bull flag massive supply zone setup,0.9735932350158693
2020-04-12 18:10:54+00:00,closed gap closed bull flag massive supply zone setup abc complete near sma,0.9742423295974731
2020-04-12 17:13:05+00:00,directional bias bank america corp report click details,-0.3196415901184082
2020-04-12 17:12:12+00:00,bank america corp report click,0.2323442101478576
2020-04-12 17:00:10+00:00,paydate bad,0.95286226272583
2020-04-12 15:06:33+00:00,buffett gave bank america billion asked warrants billion warrants exactly give corporations taxpayer money bet corporations cut sacrificing profits,0.5423204898834229
2020-04-12 14:21:23+00:00,bank america rating reiterated barclays,0.8826568126678467
2020-04-12 13:44:45+00:00,bank america rating reiterated barclays,0.8826568126678467
2020-04-12 13:08:31+00:00,bank america lifted valuengine,0.6277976036071777
2020-04-12 13:06:41+00:00,bank america upgraded valuengine,0.7459425926208496
2020-04-12 07:53:34+00:00,aroon reaches uptrend view odds bankofamerica money news,0.9241400957107544
2020-04-12 04:54:00+00:00,bank america recording reveals wall street torn precaution performance amid virus,-0.9319370985031128
2020-04-13 22:56:38+00:00,bank america drop sharply results,-0.9718483686447144
2020-04-13 22:56:22+00:00,bank america drop sharply results,-0.9977222681045532
2020-04-13 20:55:00+00:00,marketovertime bell outlook bell ride winners cut losers bell example bell gina bolvin risk reward stream live,-0.7371981143951416
2020-04-13 20:18:11+00:00,breaks key technical level sentiment bearish,-1.0774823427200315
2020-04-13 19:57:07+00:00,based ta shoot earnings rona effects,0.6054320335388184
2020-04-13 19:47:32+00:00,stocktwits trending recent interest bank america corp,0.596290111541748
2020-04-13 19:42:02+00:00,wondering sentiment ratio,-0.2425073385238647
2020-04-13 19:31:59+00:00,exp earnings crappy,-1.0612787008285522
2020-04-13 19:24:57+00:00,took size table starter small loos ill wait little keeps advancing ill,-0.3909783363342285
2020-04-13 19:15:14+00:00,informative app pivot points close pivot point download tradingview stockstowatch,0.8581420183181763
2020-04-13 19:10:44+00:00,filled,0.7220968008041382
2020-04-13 19:00:37+00:00,news filled bad news lost power,0.8582111597061157
2020-04-13 18:57:13+00:00,exp earnings crappy,-1.0495179891586304
2020-04-13 18:53:23+00:00,non stop,0.2886218428611755
2020-04-13 18:40:34+00:00,lots thing happening tells us dropping railway tracks,-0.9344087839126588
2020-04-13 18:40:25+00:00,lots thing happening tells us dropping railway tracks add size break break confirm drop triangle place well,-1.07366681098938
2020-04-13 18:39:42+00:00,filled,0.6665043830871582
2020-04-13 18:21:50+00:00,took break neckline valid head shoulders,0.9552977085113524
2020-04-13 17:58:46+00:00,bank america give ppp loans small biz loans banks federal judge sa,-0.2255494892597198
2020-04-13 17:57:21+00:00,bank america drop sharply results,-1.0472755432128906
2020-04-13 17:51:39+00:00,bought,0.9093337059020996
2020-04-13 17:51:15+00:00,bought expiring earnings fun,0.9883584976196288
2020-04-13 17:50:27+00:00,facing key trendline ahead earnings,0.2928653657436371
2020-04-13 17:47:23+00:00,bank america drop sharply results,-1.0514187812805176
2020-04-13 17:20:18+00:00,earth bank justify earnings report,-0.9773483276367188
2020-04-13 17:11:05+00:00,remember articles deathbed sorry spend hour office spouse children bankofamerica brings choice forward,-0.9801498651504515
2020-04-13 16:47:26+00:00,data appetite issue grade ig bonds remains ig issuance achieved record redemptions,0.972049593925476
2020-04-13 16:20:33+00:00,earnings,0.5521743297576904
2020-04-13 16:18:39+00:00,swinging,0.2441054582595825
2020-04-13 16:11:36+00:00,us head lower biggest stockindicesandaverages financialmarkets,-1.0499550104141235
2020-04-13 16:11:27+00:00,us head lower biggest stockindicesandaverages financialmarkets,-1.052526354789734
2020-04-13 16:03:57+00:00,bought,0.8940681219100952
2020-04-13 15:25:12+00:00,currently showing swings low already reached equal legs area waves expected place,0.9102139472961426
2020-04-13 15:24:02+00:00,started bounce higher correct cycle peak,0.9756959676742554
2020-04-13 14:56:12+00:00,guru believes cash attractive long term,-0.7675668001174927
2020-04-13 14:24:11+00:00,cut breakout carry,-1.0575599670410156
2020-04-13 13:42:44+00:00,bank america cronos kohl snap tupperware,0.2165566086769104
2020-04-13 13:36:16+00:00,fuck,-0.9684773683547974
2020-04-13 13:34:29+00:00,talk touch island guess count daddy millions stolen profits american experience cease disappoint party operates tone deaf truly mapoli,-0.6821006536483765
2020-04-13 13:15:04+00:00,pull broaden base formation,0.5075473785400391
2020-04-13 12:59:45+00:00,ended cycle lower started bounce correct previous cycle peak,0.6543846130371094
2020-04-13 12:59:32+00:00,hour view update bounced failed inside blue box area lows already,-1.070860505104065
2020-04-13 12:58:55+00:00,elliott wave view downside bounced failed blue box area,-1.0848313570022583
2020-04-13 12:58:41+00:00,hour update presented members extend lower,-1.010386943817139
