Created_at,Tweet_Words,Score
2020-04-09 23:00:38+00:00,universalorlando extending closure job cuts coronavirus affected businessnews florida orlando localbusiness businessnews themeparks tourism,-0.7007874250411987
2020-04-09 22:41:42+00:00,td securities trims target,0.0385637357831001
2020-04-09 22:41:38+00:00,td securities cuts target,-0.6610230207443237
2020-04-09 22:25:20+00:00,minimum closure side note universal orlando substantially holl,0.0819652006030082
2020-04-09 22:22:34+00:00,minimum closure side note universal orlando substantially hollywood,0.0682563632726669
2020-04-09 20:59:15+00:00,universalorlando updated closure timeline end themeparks,-0.916993260383606
2020-04-09 20:25:33+00:00,universalorlando updated closure timeline end themeparks,-0.91798198223114
2020-04-09 19:32:09+00:00,hour half long weekend update skits room sorts awkward,-1.08541738986969
2020-04-09 16:48:41+00:00,overall weakening expected,-1.0838136672973633
2020-04-09 15:30:05+00:00,huge variation corporation,-0.970083713531494
2020-04-09 14:57:41+00:00,ps catching large opening,0.9355435371398926
2020-04-09 14:53:21+00:00,unusual activity contract,-0.1623978316783905
2020-04-09 13:57:17+00:00,hope bounce atmosphere,0.9944453239440918
2020-04-09 11:37:57+00:00,traditional media releasing dtc already drinking theaters milkshakes breaking theatrical,-0.3821277916431427
2020-04-09 11:06:48+00:00,pretty monumental film industry mainstream consumer movie trolls skip theaters kids stuck home families stuck home trolls interesting,0.9213650226593018
2020-04-09 10:59:13+00:00,volatility trolls premiering home,-0.0976541936397552
2020-04-09 06:00:05+00:00,huge variation corporation,-0.970083713531494
2020-04-09 01:16:19+00:00,order flow sentiment bullish,0.9204634428024292
2020-04-10 22:35:55+00:00,please recognize opportunity economy finance,0.6765779256820679
2020-04-10 19:06:39+00:00,folks showed nbc news respect somewhere along line acquired company thing started south,0.8123425245285034
2020-04-10 19:05:00+00:00,please recognize opportunity,0.3909764885902405
2020-04-10 18:52:54+00:00,please recognize opportunity economy finance,0.4968976676464081
2020-04-10 18:47:10+00:00,universal studios extends closure theme parks least,-0.4979468584060669
2020-04-10 18:26:34+00:00,needs available everyone customers especially launch plan around olympics bust,0.574318528175354
2020-04-10 18:23:31+00:00,target lowered td securities,-0.9037439823150636
2020-04-10 18:20:58+00:00,universal trolls experiment means future theaters,-0.0618031248450279
2020-04-10 17:27:50+00:00,peacock winner coronavirus,0.9115996360778807
2020-04-10 17:10:10+00:00,informative app pivot points close pivot point download tradingview stockstowatch,0.8738750219345093
2020-04-10 12:15:42+00:00,charging charge movie ticket gon na flop wrongly conclude direct distribution model,-0.790820837020874
2020-04-10 12:08:35+00:00,universal trolls experiment means future theaters economy,-0.2290681153535843
2020-04-10 09:39:51+00:00,universal extends theme park closures,-0.2319604307413101
2020-04-10 06:06:42+00:00,universal extends theme park closures,-0.310581624507904
2020-04-10 05:05:43+00:00,universal extends theme park closures,-0.4262772500514984
2020-04-10 04:27:36+00:00,universal extends theme park closures,-0.2319604307413101
2020-04-10 00:00:55+00:00,universalorlando extending closure job cuts coronavirus affected businessnews florida orlando localbusiness businessnews themeparks tourism,-0.7007874250411987
2020-04-11 20:38:55+00:00,awesome thanks cleanest safest transaction,1.0101699829101562
2020-04-11 13:23:01+00:00,please recognize opportunity,0.3909764885902405
2020-04-11 10:22:50+00:00,uptrend rsi exits oversold zone view odds comcastcorpordinaryshares money news,0.8797653913497925
2020-04-11 08:50:08+00:00,technical reached overbought bearish pocket pivot,-1.067995548248291
2020-04-12 16:23:32+00:00,glad bottom disruption later,0.905754566192627
2020-04-12 15:06:08+00:00,glad bottom disruption later,0.7550053596496582
2020-04-12 08:39:51+00:00,uptrend rsi exits oversold zone view odds comcastcorpordinaryshares money news,0.8797653913497925
2020-04-12 03:59:04+00:00,commented universal trolls experiment means future theaters,-0.1414228975772857
2020-04-12 03:58:54+00:00,commented universal trolls experiment means future theaters,-0.1414228975772857
2020-04-12 01:08:42+00:00,trollsworldtour movie movies clue units translates encouraging sign notheaterrequired,0.9703813791275024
2020-04-12 00:19:24+00:00,commented universal trolls experiment means future theaters,-0.119108498096466
2020-04-12 00:18:09+00:00,commented universal trolls experiment means future theaters,-0.119108498096466
2020-04-13 23:37:21+00:00,corporation sec filing form,-0.0149783976376056
2020-04-13 15:22:47+00:00,bought,0.9008191823959352
2020-04-13 14:19:48+00:00,apr bid,0.4346216022968292
2020-04-13 13:53:12+00:00,potential double bottom breakout hits target placing stop lo,0.8101245164871216
2020-04-13 12:41:05+00:00,needs available everyone customers especially,0.716800332069397
2020-04-13 12:02:55+00:00,potential double bottom breakout hits target placing stop loss higher breakout,-0.3312179148197174
2020-04-13 09:46:08+00:00,uptrend rsi exits oversold zone view odds comcastcorpordinaryshares money news,0.8797653913497925
2020-04-14 21:37:50+00:00,peacock launches customers beginning nationally nbc streaming platform content productions halt,0.1493944376707077
2020-04-14 21:30:07+00:00,peacock content productions halt,-0.0259200632572174
2020-04-14 20:55:08+00:00,boss jeff shell peacock chief matt strauss streaming launch marathon sprint,0.0082041472196578
2020-04-14 20:54:06+00:00,nbcuniversal launches peacock premium early subscribers evaluating moving nationwide launch,0.1694995611906051
2020-04-14 20:38:49+00:00,pushes sentiment neutral,0.8238446712493896
2020-04-14 20:30:02+00:00,nbc peacock set early preview customers,0.0863503441214561
2020-04-14 19:59:41+00:00,app,0.1502319872379303
2020-04-14 19:48:00+00:00,nbcuniversal evaluating moving nationwide launch service peacock planned release nationwide planned xfinity subs preview peacock beginning,0.0827317833900451
2020-04-14 19:39:55+00:00,cable bills,-0.0207836385816335
2020-04-14 19:28:12+00:00,nbcuniversal considering delay launch streaming service platform peacock set,-0.1671309173107147
2020-04-14 19:25:28+00:00,nbcuniversal considering delay launch streaming service platform peacock set,-0.0519414879381656
2020-04-14 19:11:07+00:00,nbcuniversal evaluating moving nationwide peacock launch peacock chief,0.0319512635469436
2020-04-14 19:11:05+00:00,data majority finished production shutdown hollywood ties scaled launch plans drives decision version till later,0.9659016132354736
2020-04-14 19:06:36+00:00,sense given spike streaming existing library content peacock,0.7122336626052856
2020-04-14 19:03:27+00:00,sense given spike streaming existing library content peacock,0.6154029369354248
2020-04-14 18:16:26+00:00,bought,0.9642888307571412
2020-04-14 16:36:05+00:00,potential play continuation,0.9616230726242064
2020-04-14 16:31:40+00:00,potential play continuation,0.9609838724136353
2020-04-14 14:39:19+00:00,universal trolls sequel proven valuable point theaters,0.3211959302425384
2020-04-14 11:58:26+00:00,universal trolls sequel proven valuable point theaters,0.3206084966659546
2020-04-14 11:27:13+00:00,aroon reaches uptrend view odds comcastcorpordinaryshares money news,0.9342997074127196
2020-04-14 02:30:20+00:00,rough change recently,-1.0616509914398191
2020-04-15 19:56:09+00:00,thought peacock supposed stream wrong charging nbcuniversal rolls sneak peek streaming service peacock,0.2414575517177581
2020-04-15 18:01:06+00:00,subscribers wait access peacock nbcuniversal,-0.0876023843884468
2020-04-15 15:46:43+00:00,ask manage risk accordingly,-0.2673744261264801
2020-04-15 15:44:19+00:00,weighing multiple headwinds fruitful initiatives economy,0.7564488649368286
2020-04-15 15:32:57+00:00,nbcuniversal launches peacock streaming service customers,0.3270290195941925
2020-04-15 15:24:15+00:00,ready implode,-1.0402101278305054
2020-04-15 15:17:31+00:00,ready implode,-1.0549710988998413
2020-04-15 14:56:16+00:00,okay took half secure stack,0.9025273323059082
2020-04-15 12:52:53+00:00,already let pig die,-1.0647512674331665
2020-04-15 10:19:05+00:00,sense given spike streaming existing library content peacock,0.6859040260314941
2020-04-15 09:34:33+00:00,directional bias report click details,-0.1849564611911773
2020-04-15 09:30:53+00:00,report click,0.2405080944299698
2020-04-15 08:52:54+00:00,aroon reaches uptrend view odds comcastcorpordinaryshares money news,0.9342997074127196
2020-04-15 06:21:21+00:00,sentiment total scores positive negative sentiment,0.0107846707105636
2020-04-15 01:40:11+00:00,open interest maturity putcallratio,0.9580005407333374
2020-04-16 19:54:55+00:00,finally launched peacock subscriber base laid thoughts peacock space streaming nbc hbcu vod strategy,0.9697345495224
2020-04-16 19:02:08+00:00,age covid internet service withstand coronavirus everything,0.0284202098846435
2020-04-16 19:00:15+00:00,app,0.1502319872379303
2020-04-16 18:29:04+00:00,corporation sec filing form,-0.00899413600564
2020-04-16 18:28:19+00:00,insider filing corp sr evp david watson,0.0510462298989295
2020-04-16 18:27:19+00:00,insider filing corp chairman board pres ceo brian roberts,0.0546664744615554
2020-04-16 18:26:16+00:00,insider filing corp svp chief officer daniel murdock,0.0507316999137401
2020-04-16 18:15:16+00:00,insider filing corp sr evp david cohen,0.0520761907100677
2020-04-16 18:14:18+00:00,insider filing corp cfo michael cavanagh,0.0658009201288223
2020-04-16 18:06:57+00:00,corporation sec filing form,-0.00899413600564
2020-04-16 16:29:12+00:00,pretty amazing number trollsworldtour implies within trolls become biggest digital title us surpassing avengers goodlucktheaters popcorn,1.001044750213623
2020-04-16 09:42:02+00:00,calculated expected return,-0.1178506463766098
2020-04-16 09:40:02+00:00,wondering risks volatility,-0.989033579826355
2020-04-16 09:39:32+00:00,aroon reaches uptrend view odds comcastcorpordinaryshares money news,0.9342997074127196
2020-04-16 09:33:02+00:00,recommendation ub rating,-0.3517281711101532
2020-04-16 09:13:02+00:00,wallstreet,0.1291282922029495
2020-04-16 07:47:35+00:00,stocktwits trending recent interest,0.7266004085540771
2020-04-17 23:44:19+00:00,insider filing corp svp chief officer daniel murdock,0.0507316999137401
2020-04-17 21:13:32+00:00,corporation sec filing form,-0.00899413600564
2020-04-17 20:08:24+00:00,eyes credible point interview concast bro concra,-0.0067051723599433
2020-04-17 18:35:55+00:00,,-1.0488635301589966
2020-04-17 18:31:00+00:00,downgraded outperform perform reiterated barclays capital usd,-0.0339885801076889
2020-04-17 18:30:48+00:00,downgraded byoppenheimer holdingsoutperform perform reiterated bybarclays capitalbuyusd,-1.0437856912612915
2020-04-17 16:13:06+00:00,barclays reaffirms rating,0.841863751411438
2020-04-17 15:32:11+00:00,ratings faces big risk covid limits tv content analyst cautions,-0.6878714561462402
2020-04-17 13:30:46+00:00,lowered perform,-1.0044180154800415
2020-04-17 13:03:30+00:00,updated network stats streaming tv,0.0235996171832084
2020-04-17 13:00:03+00:00,updated network stats streaming tv downloads conf downstream traffic,-0.0297126434743404
2020-04-17 11:23:12+00:00,oppie americans filed unemployment consumers save money cut spending dropping paid tv limited content exposed legacy tv half rev cuts perform,-0.9365119934082032
2020-04-17 09:07:06+00:00,aroon reaches uptrend view odds comcastcorpordinaryshares money news,0.9342997074127196
2020-04-17 00:34:10+00:00,receives average recommendation analysts,0.8641278743743896
2020-04-17 00:34:04+00:00,given average rating analysts,0.8052346706390381
2020-04-18 22:34:37+00:00,,0.1355035156011581
2020-04-18 12:39:12+00:00,insider cao,-1.015877366065979
2020-04-18 09:04:02+00:00,aroon reaches uptrend view odds comcastcorpordinaryshares money news,0.9342997074127196
2020-04-18 01:16:35+00:00,daniel murdock,-0.6669020652770996
2020-04-18 01:10:58+00:00,daniel murdock,-0.4199167788028717
2020-04-18 01:08:57+00:00,given rating barclays,0.8142751455307007
2020-04-18 00:37:16+00:00,rented premium vod trollsworldtour daughter birthday thanks notheaterrequired goodlucktheaters,0.5538254976272583
2020-04-19 19:03:31+00:00,aroon reaches uptrend view odds comcastcorpordinaryshares money news,0.9342997074127196
2020-04-19 18:57:02+00:00,nbc president dealing coronavirus need response agrees trump interested political division,0.3767540752887726
2020-04-19 18:05:38+00:00,downgrades perform,-1.0287134647369385
2020-04-19 14:18:04+00:00,analysts set target,0.0607299841940403
2020-04-19 14:13:58+00:00,receives average target analysts,0.0647799670696258
2020-04-19 13:39:40+00:00,rating reaffirmed barclays,0.2777097523212433
2020-04-19 13:39:15+00:00,rating reaffirmed barclays,0.2777097523212433
