Created_at,Tweet_Words,Score
2020-04-09 13:48:48+00:00,credit cuts target,-0.8408507108688354
2020-04-10 13:17:49+00:00,rating reiterated barclays,0.2664966881275177
2020-04-10 02:38:50+00:00,flow update stockpicks stocktrading stockstowatch,-0.9663704633712769
2020-04-13 18:16:04+00:00,updated analysis intrinsic value analysis dividends technology valueinvesting marginofsafety intrinsicvalue dividend aaamportfolios,0.0911790430545806
2020-04-13 17:53:22+00:00,flow update stocktrading stockstowatch technology communication equipment finance stockmarketnews financial networking,-0.9503774642944336
2020-04-14 15:03:16+00:00,given target mkm partners,0.2273854911327362
2020-04-14 14:26:28+00:00,eps expected quarter,0.1324923485517501
2020-04-16 22:23:22+00:00,significant decrease interest,-1.0310673713684082
2020-04-16 17:35:10+00:00,research analysts recent ratings changes,0.1097208559513092
2020-04-16 08:29:31+00:00,analysts expect announce sales billion,0.1041339039802551
2020-04-17 17:45:12+00:00,informative app pivot points close pivot point download tradingview stockstowatch,0.8949105739593506
2020-04-17 12:21:10+00:00,earns sector weight rating keycorp,0.2484187334775924
2020-04-17 04:12:52+00:00,pot intermed bot downtrend longerterm,-1.073534607887268
2020-04-19 20:34:46+00:00,given average rating analysts,0.8586655855178833
2020-04-21 20:50:15+00:00,pot intermed bot downtrend longerterm,-1.073534607887268
2020-04-22 22:10:49+00:00,pot cont downtrend longerterm,-1.078945517539978
2020-04-22 16:42:48+00:00,flow update stocktrading stockstowatch technology communication equipment finance stockmarketnews financial networking,0.9255739450454712
2020-04-22 09:11:55+00:00,pot intermed bot downtrend longerterm,-1.073534607887268
2020-04-23 17:35:23+00:00,flow update stocktrading stockstowatch technology communication equipment finance stockmarketnews financial networking,-0.9339883327484132
2020-04-26 15:24:31+00:00,ended current dividend yield current marketcap current pe earnings stockmarketnews investingnews,0.7692475318908691
2020-04-29 23:42:26+00:00,company technical analysis score update ta score power,0.3728152811527252
2020-05-06 06:49:21+00:00,release earnings,0.0541230589151382
2020-05-28 23:29:35+00:00,technical analysis score ta score categories score excellent moving average score score weak,0.9277870655059814
2020-05-28 17:08:40+00:00,technical analysis score ta score categories score excellent moving average score score weak,0.9502272605895996
2020-05-28 14:23:29+00:00,flow update optionsflow,0.1763704568147659
2020-05-28 00:54:53+00:00,company profile fundamental technical analysis score update fa score ta score,0.0619702637195587
2020-05-29 23:41:39+00:00,fundamental analysis score fa score various fa value score roe roa roic gross margin ebitda etc,0.9698784351348876
2020-05-29 20:01:58+00:00,pot downtrend longerterm,-1.0509556531906128
2020-05-29 17:56:53+00:00,expands software thousandeyes acquisition,0.1284396350383758
2020-05-29 14:43:04+00:00,technical analysis score ta score categories score excellent moving average score score weak,0.9502272605895996
2020-05-29 05:56:08+00:00,lesson taught perhaps career passed breakout bc,0.6155261993408203
2020-05-31 14:26:13+00:00,updated analysis intrinsic value analysis dividends technology valueinvesting marginofsafety intrinsicvalue dividend aaamportfolios,0.0911790430545806
2020-06-01 18:07:20+00:00,open interest update optionsflow,0.4001843333244324
2020-06-01 14:36:36+00:00,technical analysis score ta score categories score neutral moving average score score excellent,0.9619665145874025
2020-06-01 13:39:11+00:00,open interest update optionsflow,0.4001843333244324
2020-06-01 11:40:33+00:00,pot downtrend longerterm,-1.0509556531906128
2020-06-02 12:52:23+00:00,cheap tech,0.9833056926727296
2020-06-04 23:49:59+00:00,fundamental analysis score fa score various fa value score roe roa roic gross margin ebitda etc,0.9698784351348876
2020-06-04 18:33:40+00:00,pot downtrend longerterm,-1.0509556531906128
2020-06-07 23:23:59+00:00,pot downtrend longerterm,-1.0509556531906128
2020-06-08 20:41:38+00:00,given average rating brokerages,0.0323892310261726
2020-06-10 18:37:34+00:00,downgraded robert baird,-1.0170962810516355
2020-06-10 12:34:37+00:00,bunch haters wall street telling company clean balance sheet specializes networking poorly era baird,-0.5659672021865845
2020-06-10 01:27:41+00:00,open interest update optionsflow,0.2976769804954529
2020-06-11 16:29:04+00:00,type percent change value hit dividend visit custom,-0.077805645763874
2020-06-13 00:52:11+00:00,flow update optionsflow,0.8411773443222046
2020-06-15 23:51:33+00:00,technical analysis score ta score categories score excellent moving average score score weak,0.9262310266494752
2020-06-15 17:13:12+00:00,pot resume downtrend longerterm,-1.0760241746902466
2020-06-15 14:09:52+00:00,research analysts ratings updates,0.0754761919379234
2020-06-15 13:33:33+00:00,open interest update optionsflow,0.4001843333244324
2020-06-15 08:35:42+00:00,evp,-0.8002117872238159
2020-06-16 22:43:24+00:00,pot resume downtrend longerterm,-1.0760241746902466
2020-06-16 22:38:04+00:00,flow update optionsflow,0.837568998336792
2020-06-16 16:43:13+00:00,long based article lesson coronavirus pandemic solutions remote learning pool poolsapp finance fintwit,0.8501313924789429
2020-06-16 13:28:40+00:00,raised bank america,0.9183765649795532
2020-06-17 22:50:57+00:00,flow update optionsflow,0.182256281375885
2020-06-17 17:45:16+00:00,flow update optionsflow,0.1534685939550399
2020-06-17 05:57:53+00:00,long based article lesson coronavirus pandemic solutions,0.635290265083313
2020-06-18 22:58:41+00:00,flow update optionsflow,-0.9209921360015868
2020-06-18 22:36:52+00:00,open interest update optionsflow,0.4893059730529785
2020-06-18 19:50:22+00:00,pot resume downtrend longerterm,-1.0760241746902466
2020-06-18 17:09:44+00:00,flow update optionsflow,0.2942749559879303
2020-06-18 13:46:25+00:00,open interest update optionsflow,0.4001843333244324
2020-06-18 02:02:42+00:00,prat bhatt,-0.7101556062698364
2020-06-19 17:37:03+00:00,open interest update optionsflow,0.4001843333244324
2020-06-19 15:30:45+00:00,pot resume downtrend longerterm,-1.0760241746902466
2020-06-20 00:00:02+00:00,detected noticeable rise zeitgeist visit dataswarm information nasdaq dataswarm ref,0.9969624280929564
2020-06-22 23:04:45+00:00,weak technical analysis score ta score categories score weak moving average score score weak,-1.0227524042129517
2020-06-22 11:23:45+00:00,expected announce earnings,0.4355888962745666
2020-06-22 00:00:02+00:00,detected noticeable fall zeitgeist visit dataswarm information nasdaq dataswarm ref,-0.9929369688034058
2020-06-23 21:41:27+00:00,flow update optionsflow,0.7311481237411499
2020-06-24 15:56:42+00:00,company profile fundamental technical analysis score update fa score ta score,0.0455949269235134
2020-06-24 14:07:04+00:00,flow update optionsflow,0.1688230782747268
2020-06-24 13:37:10+00:00,company profile fundamental technical analysis score update fa score ta score,0.0455949269235134
2020-06-24 13:31:17+00:00,power open interest update optionsflow,0.4706422090530395
2020-06-24 09:39:59+00:00,technical analysis score ta score categories score excellent,0.9561760425567628
2020-06-24 00:00:52+00:00,technical analysis score ta score categories score excellent moving average score score weak,0.9150468111038208
2020-06-26 16:39:48+00:00,fundamental technical analysis score update fa score ta score,0.0706305503845214
2020-06-27 12:01:22+00:00,upcoming dividend date dividend amount dividend visit custom,0.0994629561901092
2020-06-27 00:31:59+00:00,flow update optionsflow,0.8364819288253784
2020-06-28 18:41:53+00:00,bull flag broke notice large confirming move entry break around stop fall flag targets aths chartpatterns stockstowatch stocktrading,0.8062129020690918
2020-06-29 17:00:39+00:00,cheaply valued economy,0.7092591524124146
2020-06-29 16:47:39+00:00,cheaply valued economy,-0.4310369193553924
2020-06-29 07:18:29+00:00,bull flag broke notice large confirming move entry break,0.9039868116378784
2020-06-30 23:13:03+00:00,flow update optionsflow,0.7173796892166138
2020-06-30 16:29:12+00:00,neutral technical analysis score ta score categories score moving average score score weak,0.2381505072116851
2020-06-30 15:33:52+00:00,flow update optionsflow,0.8277778625488281
2020-06-30 03:22:06+00:00,dowjones djia fell falling,-1.0143567323684692
2020-07-01 19:31:53+00:00,flow update optionsflow,0.2068617492914199
2020-07-01 15:20:56+00:00,pot downtrend longerterm,-1.0509556531906128
2020-07-02 22:23:10+00:00,open interest update optionsflow uoa,0.4605097472667694
2020-07-02 22:10:00+00:00,weak technical analysis score ta score categories score poor moving average score score weak,-1.0376944541931152
2020-07-02 19:28:24+00:00,weak technical analysis score ta score categories score poor moving average score score weak,-1.0480445623397827
2020-07-02 16:34:37+00:00,flow update optionsflow,0.1716559827327728
2020-07-02 16:34:28+00:00,flow update optionsflow,0.1466404795646667
2020-07-02 13:55:43+00:00,flow update optionsflow,0.1685674041509628
2020-07-02 13:51:22+00:00,open interest update optionsflow,0.4001843333244324
2020-07-02 01:07:22+00:00,flow update optionsflow,-0.9244438409805298
2020-07-03 14:15:19+00:00,power open interest update optionsflow,0.4706422090530395
2020-07-03 14:09:39+00:00,weak technical analysis score ta score categories score poor moving average score score weak,-1.031579852104187
2020-07-03 13:46:41+00:00,weak technical analysis score ta score categories score poor moving average score score weak,-1.0376944541931152
2020-07-06 15:12:22+00:00,pot downtrend longerterm,-1.0509556531906128
2020-07-06 14:07:01+00:00,weak technical analysis score ta score categories score poor moving average score score weak,-1.0376944541931152
2020-07-06 13:42:41+00:00,flow update optionsflow,0.8174909353256226
2020-07-07 20:10:06+00:00,keyboard increasing dividends growing rapidly line ye,0.949937343597412
2020-07-07 18:29:07+00:00,flow update optionsflow,0.213626891374588
2020-07-07 18:28:52+00:00,flow update optionsflow,0.1386977136135101
2020-07-07 18:00:08+00:00,fundamental analysis score fa score various fa value score roe roa roic gross margin ebitda etc,0.970633029937744
2020-07-07 17:25:06+00:00,neutral technical analysis score ta score categories score neutral moving average score score,0.9589624404907228
2020-07-07 15:26:14+00:00,flow update optionsflow,0.1646209359169006
2020-07-07 14:37:26+00:00,flow update optionsflow,0.1386977136135101
2020-07-07 12:54:08+00:00,pot downtrend longerterm,-1.0509556531906128
2020-07-07 10:45:52+00:00,keyboard increasing dividends growing rapidly line div growth rate full profile fintwit dividendinvesting valueinvesting stockcharts,0.9649333953857422
2020-07-07 00:28:11+00:00,open interest update optionsflow uoa,0.4605097472667694
2020-07-07 00:24:31+00:00,flow update optionsflow,0.8362579345703125
2020-07-08 23:13:47+00:00,flow update optionsflow,0.6894562244415283
2020-07-08 19:31:01+00:00,weak technical analysis score ta score categories score poor moving average score score weak,-1.031579852104187
2020-07-09 22:45:58+00:00,neutral technical analysis score ta score categories score excellent moving average score score weak,0.7236685752868652
2020-07-09 22:25:16+00:00,flow update optionsflow stockmarke,0.8496448993682861
2020-07-09 22:25:01+00:00,flow update optionsflow,0.8478926420211792
2020-07-09 18:58:28+00:00,fundamental analysis score fa score various fa value score roe roa roic gross margin ebitda etc,0.970633029937744
2020-07-09 16:05:28+00:00,date ticker exp spot contracts premium,0.0049173235893249
2020-07-09 14:50:48+00:00,flow update optionsflow,0.8299760818481445
2020-07-09 14:10:07+00:00,lifted overweight morgan stanley,-0.2448772490024566
2020-07-09 00:27:53+00:00,weak technical analysis score ta score categories score poor moving average score score weak,-1.0376944541931152
2020-07-10 14:39:49+00:00,power open interest update optionsflow,0.4706422090530395
2020-07-10 14:30:10+00:00,flow update optionsflow,0.1816592961549759
2020-07-10 13:50:21+00:00,open interest update optionsflow uoa,0.3688992261886596
2020-07-10 13:49:38+00:00,open interest update optionsflow uoa,0.3688992261886596
2020-07-10 11:07:40+00:00,rating lowered barclays,-0.9725245237350464
2020-07-10 03:54:29+00:00,pot downtrend longerterm,-1.0509556531906128
2020-07-10 03:25:01+00:00,detected noticeable rise zeitgeist visit dataswarm information nasdaq dataswarm ref,0.9967331886291504
2020-07-10 02:48:09+00:00,open interest update optionsflow uoa,0.4605097472667694
2020-07-11 00:40:44+00:00,excellent technical analysis score ta score categories score excellent moving average score score,0.9657770395278932
2020-07-13 23:09:35+00:00,neutral technical analysis score ta score categories score neutral moving average score score neutral,0.9330968856811525
2020-07-13 22:47:35+00:00,flow update optionsflow,0.2984758019447326
2020-07-13 17:56:42+00:00,open interest update optionsflow uoa,0.3688992261886596
2020-07-13 17:22:12+00:00,neutral technical analysis score ta score categories score neutral moving average score score neutral,0.9330968856811525
2020-07-14 22:43:38+00:00,fundamental analysis score fa score various fa value score roe roa roic gross margin ebitda etc,0.9689338207244872
2020-07-14 22:19:34+00:00,flow update optionsflow,0.7150019407272339
2020-07-14 18:47:29+00:00,flow update optionsflow,0.7134017944335938
2020-07-14 17:11:01+00:00,neutral technical analysis score ta score categories score weak moving average score score neutral,-0.2853399217128753
2020-07-14 16:43:52+00:00,flow update optionsflow,0.701825737953186
2020-07-14 15:34:59+00:00,open interest update optionsflow uoa,0.3688992261886596
2020-07-14 14:31:35+00:00,open interest update optionsflow uoa,0.3688992261886596
2020-07-15 16:37:07+00:00,flow update optionsflow,0.1739037185907364
