Created_at,Tweet_Words,Score
2020-04-09 22:39:27+00:00,home depot target raised,0.8903740644454956
2020-04-09 22:37:44+00:00,home depot target raised,0.8903740644454956
2020-04-09 22:03:35+00:00,home depot pt lowered,-0.968820333480835
2020-04-09 21:40:17+00:00,settled around key threshold area expected stuck,-0.3666933476924896
2020-04-09 17:58:35+00:00,home depot pt raised,0.9069124460220336
2020-04-09 17:39:02+00:00,opening series,0.3990875780582428
2020-04-09 16:20:02+00:00,home depot,0.7298895120620728
2020-04-09 15:29:03+00:00,wells fargo maintains overweight pt,-0.9370332956314088
2020-04-09 15:16:20+00:00,give kids project open,-0.0204245895147323
2020-04-09 14:57:44+00:00,bull bet,0.2541251480579376
2020-04-09 14:52:02+00:00,bull bet,0.520480751991272
2020-04-09 14:41:04+00:00,home depot type percent change value hit dividend visit custom,0.9118176698684692
2020-04-09 12:06:54+00:00,aroon reaches uptrend view odds homedepot money news,0.9257760047912598
2020-04-09 07:14:11+00:00,equities analysts issue forecasts home depot earnings,0.0322106108069419
2020-04-09 07:10:50+00:00,equities analysts issue forecasts home depot earnings,0.0322106108069419
2020-04-09 06:27:50+00:00,analysts reduce earnings estimates home depot,-0.3180521130561828
2020-04-09 06:26:40+00:00,eps estimates home depot reduced,-0.8547607660293579
2020-04-09 06:23:34+00:00,eps estimates home depot reduced,-0.8547607660293579
2020-04-10 18:24:34+00:00,personal favorite moment,0.6504323482513428
2020-04-10 11:06:41+00:00,aroon reaches uptrend view odds homedepot money news,0.9257760047912598
2020-04-10 07:56:47+00:00,home depot expected earn earnings,0.2959041595458984
2020-04-10 07:54:28+00:00,home depot expected earn earnings,0.2959041595458984
2020-04-10 07:53:16+00:00,home depot expected earn earnings,0.2959041595458984
2020-04-10 07:06:15+00:00,home depot san francisco sentry largest position,0.0425405949354171
2020-04-10 05:13:52+00:00,peak profit expired,0.5533424615859985
2020-04-10 05:09:48+00:00,apr,0.8699679374694824
2020-04-10 05:01:46+00:00,peaked triggered algo,0.8942931890487671
2020-04-10 04:57:43+00:00,view historical performance,0.0748998746275901
2020-04-10 01:46:04+00:00,home depot potential resistance let polarity kicks place risk,-1.0046844482421875
2020-04-11 20:07:08+00:00,mulch brotha christmasinthespring giddyup blessedeaster,0.0399256758391857
2020-04-11 19:35:11+00:00,mulch brotha christmasinthespring giddyup blessedeaster,0.118239939212799
2020-04-11 16:09:15+00:00,home depot pt lowered,-0.968820333480835
2020-04-11 15:40:09+00:00,informative app pivot points close pivot point download tradingview stockstowatch,0.873420000076294
2020-04-11 12:02:04+00:00,home depot pt raised,0.8601037263870239
2020-04-11 12:01:14+00:00,home depot pt raised,0.8601037263870239
2020-04-11 10:19:15+00:00,uptrend rsi exits oversold zone view odds homedepot money news,0.8810429573059082
2020-04-11 05:33:25+00:00,home depot award bonuses hourly workers,0.0166862830519676
2020-04-12 23:00:45+00:00,home depot potential resistance let polarity kicks place,0.2391105890274047
2020-04-12 20:46:42+00:00,,0.0282910391688346
2020-04-12 17:49:36+00:00,charge delivery,0.0616005808115005
