Created_at,Tweet_Words,Score
2020-04-09 22:22:37+00:00,mozilla initiative ip available coronavirus efforts,0.5147868394851685
2020-04-09 21:39:17+00:00,insider filing corp evp general counsel steven ralph rodgers,0.0523439943790435
2020-04-09 21:29:05+00:00,nfl powerhouse horrible management consistently leads underperformance,-1.0773282051086426
2020-04-09 21:03:33+00:00,georgia tech darpa project dividend,0.9874210357666016
2020-04-09 20:55:43+00:00,declines apr straddle implying move,-1.0721381902694702
2020-04-09 20:54:04+00:00,bit tech wreck background diving already,-1.0748428106307983
2020-04-09 20:25:21+00:00,steven ralph rodgers worth corp,0.0704651027917862
2020-04-09 20:14:52+00:00,recall giving hedge,0.058580070734024
2020-04-09 19:40:44+00:00,nasty,-1.072217583656311
2020-04-09 19:33:20+00:00,understand underperformance,-0.8999348878860474
2020-04-09 19:24:24+00:00,lows ignore,0.5492641925811768
2020-04-09 18:48:50+00:00,issued ask equity returns ig land folks thanksfed,0.8370205163955688
2020-04-09 17:11:29+00:00,swing,0.0508226081728935
2020-04-09 17:00:18+00:00,along bonus edition hit target info,0.58922278881073
2020-04-09 16:55:34+00:00,along bonus edition hit target info,0.3527434170246124
2020-04-09 16:43:24+00:00,earnings hopefully quarter change recently,0.971413254737854
2020-04-09 16:07:27+00:00,waited took small entry long move already locked profit,0.9719464778900146
2020-04-09 15:56:33+00:00,commits million pandemic response technology initiative combat coronavirus,0.0825186967849731
2020-04-09 15:51:18+00:00,gon na eat lunch,0.9589649438858032
2020-04-09 15:22:57+00:00,georgia tech darpa project,0.0199012495577335
2020-04-09 15:20:10+00:00,georgia tech darpa project,0.0336615368723869
2020-04-09 15:07:34+00:00,georgia tech darpa program mitigate machine learning deception attacks,-0.2552852928638458
2020-04-09 15:06:30+00:00,georgia tech darpa program mitigate machine learning deception attacks,-0.134169340133667
2020-04-09 15:01:10+00:00,prairieview partners llc position,0.0483982115983963
2020-04-09 15:01:04+00:00,raised perform raymond james,0.8143264055252075
2020-04-09 15:01:00+00:00,raised perform raymond james,0.8143264055252075
2020-04-09 15:00:55+00:00,raised perform raymond james,0.8143264055252075
2020-04-09 14:22:10+00:00,bit tech wreck background diving already,-1.062414288520813
2020-04-09 14:19:10+00:00,pd capped upside forced,0.1123488023877143
2020-04-09 14:13:14+00:00,lot absolute relative weakness bearish keeps range kisv,-1.0814697742462158
2020-04-09 13:54:00+00:00,fading markethttps,-1.0410391092300415
2020-04-09 13:34:21+00:00,universities ip fight covid,0.3417189121246338
2020-04-09 13:31:43+00:00,universities ip fight covid,0.2056009471416473
2020-04-09 11:25:26+00:00,enters uptrend exceeded level view odds money news,0.9028365612030028
2020-04-09 09:59:14+00:00,raised perform raymond james,0.7511343955993652
2020-04-09 09:58:33+00:00,raised perform raymond james,0.7511343955993652
2020-04-09 09:56:48+00:00,raised perform raymond james,0.7511343955993652
2020-04-09 07:06:33+00:00,prairieview partners llc position,0.0738080739974975
2020-04-09 06:01:20+00:00,receives average recommendation brokerages,-0.0726005062460899
2020-04-09 05:59:25+00:00,receives average recommendation brokerages,-0.0726005062460899
2020-04-09 05:59:22+00:00,receives average recommendation brokerages,-0.0726005062460899
2020-04-09 05:57:58+00:00,given average recommendation brokerages,-0.0653678476810455
2020-04-09 05:57:40+00:00,receives average recommendation brokerages,-0.0595826022326946
2020-04-10 23:04:05+00:00,ceo bob swan chip due rush,0.005617294460535
2020-04-10 23:03:49+00:00,chips picked company report results,0.8167281150817871
2020-04-10 22:57:12+00:00,saw hacked semis run gain hedge fund expect,0.9172251224517822
2020-04-10 22:43:51+00:00,killing esteban,-0.9725196361541748
2020-04-10 22:40:25+00:00,major movements change recently,-0.6426031589508057
2020-04-10 21:13:27+00:00,saw hacked semis run gain hedge fund expect period massive losses greedy stupid line bullish bazooka fed charge,-0.4423089921474457
2020-04-10 19:24:13+00:00,max pain maturity,-0.0026323646306991
2020-04-10 18:29:16+00:00,chips picked dividend,0.969834327697754
2020-04-10 18:15:52+00:00,chips picked company report results,0.8311500549316406
2020-04-10 17:12:11+00:00,ceo bob swan chip due rush,0.2563665211200714
2020-04-10 16:00:54+00:00,killing esteban,-0.9156261682510376
2020-04-10 14:16:58+00:00,chips picked,0.7011541128158569
2020-04-10 14:16:50+00:00,chips picked,0.7011541128158569
2020-04-10 14:16:45+00:00,chips picked,0.7011541128158569
2020-04-10 14:16:41+00:00,chips picked,0.7011541128158569
2020-04-10 14:16:06+00:00,raymond james upgrades perform,-0.9241788387298584
2020-04-10 14:16:01+00:00,chips picked,0.7011541128158569
2020-04-10 12:56:49+00:00,uptrend ascend result broken lower bollinger band view odds,0.905370831489563
2020-04-10 12:54:08+00:00,chips picked,0.5201023817062378
2020-04-10 12:20:53+00:00,raymond james upgrades perform,-0.926846981048584
2020-04-10 11:37:53+00:00,evp steven ralph rodgers,-0.2132558673620224
2020-04-10 11:35:39+00:00,evp steven ralph rodgers,-0.2132558673620224
2020-04-10 10:55:14+00:00,evp,-0.6640501022338867
2020-04-10 10:26:30+00:00,uptrend ascend result broken lower bollinger band view odds money news,0.8591293096542358
2020-04-10 10:24:45+00:00,chips picked,0.5201023817062378
2020-04-10 10:17:17+00:00,moment truth hod stop long,0.9638590812683104
2020-04-10 10:14:34+00:00,chips picked,0.5201023817062378
2020-04-10 10:05:56+00:00,upgraded sanford bernstein,0.6195865869522095
2020-04-10 09:49:20+00:00,chips picked,0.5201023817062378
2020-04-10 09:44:43+00:00,chips picked,0.5201023817062378
2020-04-10 07:38:24+00:00,flow update stocktrading stockstowatch,-0.9411159753799438
2020-04-10 07:10:11+00:00,upgraded sanford bernstein,0.4082972705364227
2020-04-10 07:09:47+00:00,upgraded sanford bernstein,0.4082972705364227
2020-04-10 07:06:19+00:00,san francisco sentry acquires,0.1794045120477676
2020-04-10 05:38:49+00:00,bounce done,0.9254597425460817
2020-04-10 04:09:19+00:00,bounce done,0.9666961431503296
2020-04-10 03:55:32+00:00,evp steven ralph rodgers,-0.4637479782104492
2020-04-10 02:58:57+00:00,georgia tech darpa project dividend,0.9832849502563475
2020-04-10 02:49:52+00:00,mozilla initiative ip available coronavirus efforts,0.4627979695796966
2020-04-10 02:49:09+00:00,order flow sentiment turned bearish bullish,-0.9597309827804564
2020-04-10 02:42:37+00:00,order flow sentiment turned bearish bullish,-0.9205087423324584
2020-04-10 00:54:51+00:00,outdated comparison worth either number devices prior devices recession ppp stim bring consumers,-1.066252827644348
2020-04-11 22:43:49+00:00,everything pushed deep picked blue chip company shortly,-1.0893889665603638
2020-04-11 20:12:03+00:00,ta backlog favor fabs,0.9100780487060548
2020-04-11 20:07:39+00:00,ta backlog favor fabs,0.8913239240646362
2020-04-11 18:38:57+00:00,ta backlog favor fabs,0.9425561428070068
2020-04-11 17:05:05+00:00,,0.9123679399490356
2020-04-11 11:33:01+00:00,long btc,-0.9629461765289308
2020-04-11 09:34:58+00:00,uptrend jump broke lower bollinger band view odds money news,0.9397538900375366
2020-04-11 08:57:11+00:00,steven ralph rodgers,-0.4206151068210602
2020-04-11 08:56:13+00:00,steven ralph rodgers,-0.4206151068210602
2020-04-11 08:54:39+00:00,steven ralph rodgers,-0.4206151068210602
2020-04-11 08:53:51+00:00,evp steven ralph rodgers,-0.2132558673620224
2020-04-11 08:46:10+00:00,technical fell dma expansion pivot setup,-1.044432282447815
2020-04-11 07:58:17+00:00,rating upgraded sanford bernstein,0.8608767986297607
2020-04-11 07:55:43+00:00,rating upgraded sanford bernstein,0.8608767986297607
2020-04-12 19:06:15+00:00,receives consensus target analysts,0.1197714805603027
2020-04-12 19:05:25+00:00,receives consensus target analysts,0.1197714805603027
2020-04-12 19:03:27+00:00,brokerages set target,0.0866885855793953
2020-04-12 18:16:27+00:00,well respects fib sh hits fan,0.9890079498291016
2020-04-12 17:17:49+00:00,well respects fib sh hits fan lvls,0.9924229383468628
2020-04-12 16:08:33+00:00,sentiment total scores positive negative sentiment,-0.0305770635604858
2020-04-12 11:26:21+00:00,raised sanford bernstein,0.4509768187999725
2020-04-12 11:25:11+00:00,raised sanford bernstein,0.4509768187999725
2020-04-12 11:24:28+00:00,raised sanford bernstein,0.4509768187999725
2020-04-12 09:02:06+00:00,evp,-0.6640501022338867
2020-04-12 08:59:46+00:00,evp steven ralph rodgers,-0.2132558673620224
2020-04-12 08:58:39+00:00,evp,-0.6640501022338867
2020-04-12 08:58:24+00:00,evp,-0.6640501022338867
2020-04-12 07:51:26+00:00,uptrend jump broke lower bollinger band view odds money news,0.9397538900375366
2020-04-12 04:17:39+00:00,classic broker cold lines sir spoke phone,0.7826478481292725
2020-04-12 01:06:53+00:00,bipolar change recently,-0.5091375112533569
2020-04-13 23:59:24+00:00,,-0.1694757789373397
2020-04-13 21:54:01+00:00,long btc,-0.21192367374897
2020-04-13 21:13:30+00:00,pushing higher retesting inverse neckline bullish,0.9207113981246948
2020-04-13 20:46:10+00:00,hitting eggplant,0.7761915922164917
2020-04-13 19:45:32+00:00,pushing higher retesting inverse neckline bullish,0.9007464647293092
2020-04-13 19:40:02+00:00,experience sales surge due coronavirus bets,0.6357747316360474
2020-04-13 19:34:56+00:00,damnn loser atm ughh dammit honesty solid company ticker fing,-0.4582073986530304
2020-04-13 17:29:57+00:00,flow update technology chips chip manufacturers manufacturing stockstowatch stocktrading financial capital,0.8602924346923828
2020-04-13 16:55:56+00:00,reveals comprehensive coronavirus relief plan partners intelpartners,0.6502219438552856
2020-04-13 15:50:46+00:00,add portfolio,0.0190687775611877
2020-04-13 14:46:23+00:00,pre chips picked sa,-0.6949710845947266
2020-04-13 14:17:12+00:00,important level forgot weekend reject zone head lower alt count,-1.0239075422286987
2020-04-13 14:04:55+00:00,hard test level,-1.0288821458816528
2020-04-13 12:22:32+00:00,pre chips picked sa,-0.648422360420227
2020-04-13 11:24:45+00:00,eps expected quarter,0.109104610979557
2020-04-13 11:24:29+00:00,expected earnings,0.3512974083423614
2020-04-13 11:24:06+00:00,expected earnings,0.5365747213363647
2020-04-13 11:23:12+00:00,expected earnings,0.3512974083423614
2020-04-13 09:48:26+00:00,upgraded sanford bernstein,0.632688045501709
