Created_at,Tweet_Words,Score
2020-04-09 19:53:55+00:00,citigroup cuts target,-0.8812545537948608
2020-04-09 16:44:16+00:00,earnings estimate issued piper sandler,0.0581066459417343
2020-04-09 16:41:27+00:00,expects slash profits half,-0.974207639694214
2020-04-09 16:01:47+00:00,issues earnings guidance,0.0701164156198501
2020-04-09 12:59:18+00:00,target cut analysts stephens,-0.9579484462738036
2020-04-09 12:19:24+00:00,downgraded bank america neutral,-1.024341702461243
2020-04-09 01:46:58+00:00,updates earnings guidance,0.0524021610617637
2020-04-10 11:19:35+00:00,piper sandler comments earnings,0.0334143489599227
2020-04-10 10:36:11+00:00,rating reiterated financial,0.9269025325775146
2020-04-11 14:16:58+00:00,strbucks coronavirus remained key cloud coffee takeaway,0.9748107194900512
2020-04-12 18:35:09+00:00,informative app pivot points close pivot point download tradingview stockstowatch,0.8537231683731079
2020-04-12 15:47:29+00:00,given average recommendation brokerages,0.0075305886566638
2020-04-13 16:24:52+00:00,pt lowered,-0.9823106527328492
2020-04-13 14:55:54+00:00,cuts target,-0.8668922185897827
2020-04-13 10:45:08+00:00,corp brand equity seems outshine economic sensitivity equity,0.1224932968616485
2020-04-13 03:28:05+00:00,missed rally late economy,-0.7643774747848511
2020-04-13 03:19:03+00:00,missed rally late economy,-0.6883631944656372
2020-04-15 11:35:17+00:00,eps estimates lowered analyst,-0.8929946422576904
2020-04-16 19:40:54+00:00,company profile technical analysis score update ta score,-0.0084707178175449
2020-04-16 15:40:25+00:00,rises firm eyes transition phase coronavirus outbreak,0.3567073345184326
2020-04-16 13:26:10+00:00,wedbush weighs earnings,0.0233874544501304
2020-04-16 11:55:21+00:00,expected earn earnings,0.4961134493350982
2020-04-17 21:52:27+00:00,plans gradual reopening based china experience boycottestarbucks,0.0020851045846939
2020-04-17 20:21:28+00:00,recent analysts ratings changes,0.0528204590082168
2020-04-17 16:13:07+00:00,wolfe research begins coverage,0.0520875677466392
2020-04-17 13:33:06+00:00,corporation type percent change value hit dividend visit custom,0.8046706914901733
2020-04-19 15:33:10+00:00,target lowered wedbush,-0.9773403406143188
2020-04-19 02:44:33+00:00,lays groundwork reopening coronavirus,0.158708170056343
2020-04-21 09:41:28+00:00,interest update,0.5529662370681763
2020-04-21 08:26:52+00:00,set announce earnings,0.035064548254013
2020-04-22 21:50:47+00:00,mkm partners increases target,0.8557934761047363
