Created_at,Tweet_Words,Score
2020-04-09 17:39:05+00:00,united parcel service target lowered citigroup,-0.933302402496338
2020-04-09 14:04:01+00:00,united parcel service receives rating,-0.0180313140153884
2020-04-09 13:15:10+00:00,united parcel service downgraded ubs neutral,-1.002030611038208
2020-04-12 20:10:50+00:00,united parcel service given average recommendation analysts,0.8525652885437012
2020-04-13 19:32:04+00:00,fade optimism,0.474942535161972
2020-04-13 15:42:29+00:00,united parcel service yield hope,0.9694056510925292
2020-04-13 12:10:09+00:00,informative app pivot points close pivot point download tradingview stockstowatch,0.8400322198867798
2020-04-18 00:09:53+00:00,united parcel service rating lowered barclays,-0.880561113357544
2020-04-19 15:39:01+00:00,united parcel service downgraded ubs,-1.004913330078125
2020-04-19 05:57:00+00:00,closed slightly eyes radar fails crossovers green snap trend,-1.079353094100952
2020-04-19 05:02:36+00:00,closed slightly eyes radar fails crossovers green snap trend stockstowatch,-0.9516974687576294
2020-04-21 22:35:38+00:00,united parcel service rating reaffirmed keycorp,0.1632383614778518
2020-04-21 12:28:53+00:00,eps estimates united parcel service cut analyst,-0.7913215160369873
2020-04-21 06:55:14+00:00,united parcel service release earnings,0.0203331336379051
2020-04-22 12:41:30+00:00,united parcel service expected earnings,0.394658625125885
2020-04-22 12:08:28+00:00,united parcel service forecasted earnings,0.3205205798149109
2020-04-24 12:21:35+00:00,cuts united parcel service target,-0.7593890428543091
2020-04-24 09:13:21+00:00,billion sales expected united parcel service quarter,0.3130654096603393
2020-04-24 07:30:01+00:00,recent analysts ratings updates united parcel service,0.0666278451681137
2020-04-27 19:46:09+00:00,bmo capital lowers united parcel service target,-0.272442102432251
2020-04-27 17:11:10+00:00,hod breaks stop,-0.5918543338775635
2020-04-28 20:40:40+00:00,united parcel service earnings results,0.0402391329407691
2020-04-28 20:17:08+00:00,falling,-0.6551519632339478
2020-04-28 19:51:49+00:00,united parcel service given target goldman sachs analysts,0.2120510190725326
2020-04-28 19:51:48+00:00,berenberg bank analysts give united parcel service target,0.1779966056346893
2020-04-28 15:40:05+00:00,united parcel service results earnings presentation,0.0576782524585723
2020-04-28 13:35:40+00:00,united parcel service eps misses estimate sales beat estimate suspends buyback earnings,0.1966486126184463
2020-04-28 13:25:23+00:00,premarket slashes buybacks coronavirus weighs earnings,-0.8810857534408569
2020-04-28 10:31:04+00:00,united parcel service scheduled announce earnings results open consensus eps estimate consensus revenue estimate earnings,0.5324263572692871
2020-04-29 21:49:40+00:00,csfb trims united parcel service target,-0.0168492645025253
2020-04-29 19:10:29+00:00,move demark counter exit sequential setup setup perfection sign,0.7799986600875854
2020-04-29 18:56:20+00:00,move demark counter exit sequential setup setup perfection signals occuring stockstobuy wait set signals aligning,0.9789302349090576
2020-04-29 17:16:58+00:00,united parcel service target cut,-0.964380145072937
2020-04-29 16:30:45+00:00,united parcel service target cut analysts,-0.922452449798584
2020-05-04 19:18:26+00:00,dowjones nyse breakingnews nasdaq usdjpy china trump nikkei shanghai dax xauusd brent corona coronavirus eurusd oil focus date,0.0053069405257701
2020-05-08 00:28:39+00:00,united parcel service given average recommendation analysts,-0.0151498913764953
2020-05-09 22:58:34+00:00,united parcel service cl united parcel service equity,0.0211341045796871
2020-06-01 16:00:02+00:00,carol tomé start ceo female ceo within female ceo female ceo appointments visit boardexalerts,0.1968651115894317
2020-06-03 19:01:14+00:00,dowjones nasdaq usdjpy shanghai dax xauusd usa eurusd brent breaking gold trump johnnybravo stocktowatch wells fargo raises target united parcel service,0.8420636653900146
2020-06-05 02:16:54+00:00,united parcel service neutral technical analysis score ta score categories score weak moving average score score,0.8674401044845581
2020-06-07 15:04:39+00:00,zacks analysts expect united parcel service eps,0.0881998986005783
2020-06-08 00:07:09+00:00,slumping ceo carol tome bought large block stockmarketnews news stocktrading wallstreet alpha alphanews,0.0350674092769622
2020-06-09 07:54:01+00:00,billion sales expected united parcel service quarter,0.3172632455825805
2020-06-13 22:32:50+00:00,dividend dream,0.083519771695137
2020-06-15 14:09:45+00:00,citigroup increases united parcel service target,0.7758522033691406
2020-06-18 11:17:45+00:00,united parcel service lifted deutsche bank,0.9107778072357178
2020-06-19 19:36:37+00:00,excellent fundamental analysis score fa score various fa value score roe roa roic gross margin ebitda etc,0.9785070419311525
2020-06-22 11:55:10+00:00,analysts recent ratings updates united parcel service,0.1399039924144745
2020-06-22 02:27:39+00:00,pivot sma squeeze neutral upside downside,-0.0646605342626571
2020-06-22 01:50:15+00:00,pivot sma squeeze neutral upside downside earn learn classes life gold silver plan,0.8770633935928345
2020-06-30 17:10:27+00:00,koao lays logisitcs knowledge pay attention along,-0.4414962232112884
2020-06-30 16:49:58+00:00,remains,0.9600261449813844
2020-07-01 19:12:19+00:00,company profile fundamental technical analysis score update fa score ta score,0.0471483655273914
2020-07-07 02:56:31+00:00,united parcel service technical analysis score ta score categories score weak moving average score excellent score excellent,0.9591691493988036
2020-07-08 01:25:21+00:00,flow update united parcel service optionsflow,0.1557939052581787
2020-07-09 21:48:19+00:00,zone analysis,0.7412707805633545
